,날짜,코디,조회수,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
470,20220317,캐주얼,9347,그래픽,편안한,원마일웨어,오버핏,꾸안꾸,와이드핏,비,봄,캐주얼,돈포겟미,커버낫,아식스,피지컬 에듀케이션 디파트먼트,어프어프,가까이 유니언즈,우알롱,캡야구 모자,우산,패션스니커즈화,맨투맨스웨트셔츠,케이스슬리브,트레이닝조거 팬츠,후드 집업,
479,20220315,캐주얼,9188,로고플레이,와이드핏,캠퍼스,꾸안꾸,봄,캐주얼,맨하탄 포티지,리,라퍼지스토어,토피,밀로,반스,백팩,기타 컬처,후드 티셔츠,사파리헌팅 재킷,데님 팬츠,캡야구 모자,캔버스단화,미니 원피스,,,,
484,20220323,아메리칸 캐주얼,9065,로고플레이,오버핏,벌룬핏,핀턱,에코,봄,캐주얼,슬리피슬립,컬러콜라,레테르코모,라퍼지스토어,사운즈라이프,포트너스,헌팅캡베레모,캔버스단화,베스트,셔츠블라우스,에코백,,,,,,
487,20220408,캐주얼,8957,핀턱,레터링,캠퍼스,와이드핏,로고플레이,레이어드룩,컬러블록,스트라이프,봄,캐주얼,네이키드니스,제로,반스,키뮤어,마하그리드,예스아이씨,백팩,기타 컬처,데님 팬츠,캔버스단화,니트스웨터,반소매 티셔츠,캡야구 모자,
496,20220302,포멀,8820,화사한,캠퍼스,로고플레이,레이어드룩,오버핏,비건패션,레더,봄,캐주얼,라퍼지스토어,뉴발란스,발렌티노 루디,세터,코튼 팬츠,셔츠블라우스,쿼츠 아날로그,캡야구 모자,,,,,,,
501,20220302,캐주얼,8739,레터링,남친룩,오버핏,봄,캐주얼,라이클리후드,파르티멘토,컨버스,슬로우포크,스파오,캡야구 모자,백팩,기타 컬처,반소매 티셔츠,기타 아우터,캔버스단화,데님 팬츠,셔츠블라우스,,,,,,
504,20220525,스포츠,8637,원마일웨어,셋업코디,레터링,봄,캐주얼,피스메이커,로우랩,디아도라,메신저크로스 백,헤드폰,반소매 티셔츠,러닝화,,,,,,,,,,,,
505,20220228,캐주얼,8610,와이드핏,레더,스웨이드,남친룩,데이트,봄,댄디,후러브스아트,테이크이지,마스카,피렌체 아뜨리에,라퍼지스토어,질스튜어트 맨 액세서리,슈트 팬츠슬랙스,안경 소품,니트스웨터,안경,구두,로퍼,레더라이더스 재킷,토트백,,,
506,20220422,댄디,8606,핀턱,레이어드룩,비,컬러블록,봄,캐주얼,파라체이스,크록스,비얼디드키드,리베레코리아,와릿이즌,우산,샌들,숏 팬츠,메신저크로스 백,버킷사파리햇,,,,,,,,
511,20220908,포멀,8571,편안한,꾸안꾸,레터링,키높이,핀턱,가을,캐주얼,가까이 유니언즈,오가프,로드,아크로하우스,캘빈클라인 진,트레이닝조거 팬츠,캡야구 모자,캔버스단화,케이스슬리브,후드 티셔츠,,,,,,,
